Östermalms idrottsplats,59.3468600543504,18.08245355935181,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446172;;;;
Storängsvägen,59.351832091966315,18.08415812516709,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446175;;;;
Tennisstadion,59.34850774475013,18.08117479958989,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446174;;;;
Wollmar Yxkullsgatan (Timmerma,59.316279222481356,18.061524291179808,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446169;;;;
Krukmakargatan (på Timmermansg,59.3181064097034,18.06023995978938,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446168;;;;
Storängskroken,59.35335831478753,18.085720029952952,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446171;;;;
Fatbursgatan,59.31441461521872,18.061857467627686,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446170;;;;
Danvikshem,59.31422043931606,18.115981783528355,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446148;;;;
Henriksdalsberget,59.31112649904522,18.11726483985994,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446149;;;;
Garnisonen,59.336680496004945,18.095060641122387,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446150;;;;
Lindvallsplan,59.316658084129784,18.029033604958528,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446151;;;;
Danviksklippan,59.31252773953964,18.10608331738812,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446144;;;;
Saltsjöqvarn,59.314324153919586,18.111140659912646,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446145;;;;
Körsbärsvägen,59.3484070176307,18.064762958536004,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446146;;;;
Danviken,59.31304941551499,18.108577673528195,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446147;;;;
Varvsgatan (på Hornsgatan),59.31633227594238,18.040729104382752,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446156;;;;
Ansgariegatan,59.31752492369808,18.04553292881238,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446157;;;;
Stockholm Rosenlundsg/Hornsg,59.317444728715195,18.055400330442115,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446158;;;;
Hornsgatan/Rosenlundsgatan,59.318618775318974,18.054494120021012,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446159;;;;
Engelbrektskyrkan,59.3432144914924,18.06747706216202,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446152;;;;
Västerbroplan,59.32818814102573,18.021123584189972,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446154;;;;
Högalidsgatan,59.31849707611702,18.032298273288074,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446155;;;;
Grundläggarvägen,59.32909337608748,17.951454065481467,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446259;;;;
Abrahamsbergsvägen,59.32966782479984,17.94600757658521,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446258;;;;
Rörläggarvägen,59.33115516149425,17.94620656068022,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446257;;;;
Gustav III:s väg,59.333280507090635,17.945830588748436,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446256;;;;
Alviksplan,59.333608269410036,17.973812834590913,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446263;;;;
Västerledstorget,59.32880063224454,17.968621411293253,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446262;;;;
Mossens idrottsplats,59.32839107238274,17.96353458446647,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446261;;;;
Nyängsvägen,59.32867005469341,17.955890738470295,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446260;;;;
Ulvsundaplan,59.3352298295123,17.96971555032173,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446266;;;;
Gamla Bromstensvägen,59.37288440834672,17.919134636750762,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446265;;;;
Alviksvägen,59.331920550732946,17.974865193091983,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446264;;;;
Kyrkogården Avesta,60.152736402673746,16.15296771501549,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446271;;;;
Skillinggränd,60.14779812997334,16.153635799161517,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446270;;;;
Eriksgatan,60.143577870966105,16.15431127079697,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446269;;;;
Vindarnas gränd,60.14203922269606,16.15915459039195,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446268;;;;
Museiparken,59.33323935932348,18.119065756908558,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446242;;;;
Kaknäs,59.33284381788795,18.128178084560723,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446243;;;;
Källhagen,59.3335534751951,18.110967122366862,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446240;;;;
Sjöhistoriska museet,59.333496204817,18.11521656122197,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446241;;;;
Manilla,59.32418365816143,18.134404680618864,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446246;;;;
Manillavägen,59.323255552091666,18.136590212928446,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446247;;;;
Djurgårdsbrunn,59.33035961852213,18.132525096475643,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446244;;;;
